id,file,algo,protocol,arch,opcode_count,nodes,edges,entropy
56,sample_0056_z80.bin,DES-ECB,WiFi,z80,60,6,10,5.23
57,sample_0057_riscv.bin,SHA1,DTLS,riscv,82,17,10,0.75
58,sample_0058_x86.bin,Blowfish-CBC,TLS,x86,120,14,16,2.79
59,sample_0059_mips.bin,DES-ECB,Bluetooth,mips,113,8,12,6.4
60,sample_0060_risc.bin,ECDHE,Bluetooth,risc,124,18,24,4.74
61,sample_0061_riscv.bin,Twofish-CBC,WiFi,riscv,154,20,6,5.37
62,sample_0062_risc.bin,AES-CBC,Bluetooth,risc,160,5,10,6.63
63,sample_0063_risc.bin,AES-CBC,TLS,risc,74,7,9,2.56
64,sample_0064_avr.bin,HMAC,WiFi,avr,170,10,12,4.32
65,sample_0065_avr.bin,3DES-CBC,Bluetooth,avr,124,14,19,6.16
66,sample_0066_riscv.bin,Twofish-CBC,WiFi,riscv,161,6,24,3.56
67,sample_0067_arm.bin,AES-ECB,WiFi,arm,61,13,11,2.38
68,sample_0068_x86.bin,CAST-ECB,Bluetooth,x86,120,11,23,6.76
69,sample_0069_arm.bin,SHA1,TLS,arm,153,14,9,5.9
70,sample_0070_x86.bin,Blowfish-ECB,SSH,x86,198,16,23,1.63
71,sample_0071_z80.bin,ECDSA,SSH,z80,188,15,10,2.63
72,sample_0072_arm.bin,CAST-CBC,TLS,arm,139,13,19,0.03
73,sample_0073_riscv.bin,RC4-CBC,Bluetooth,riscv,168,19,23,4.08
74,sample_0074_risc.bin,ECDHE,WiFi,risc,53,8,16,1.16
75,sample_0075_riscv.bin,IDEA-CBC,DTLS,riscv,153,16,8,6.27
76,sample_0076_avr.bin,Blowfish-ECB,DTLS,avr,190,10,19,4.89
77,sample_0077_risc.bin,Blowfish-CBC,TLS,risc,139,8,7,1.07
78,sample_0078_mips.bin,CHACHA20,WiFi,mips,173,14,22,4.89
79,sample_0079_risc.bin,CAST-ECB,SSH,risc,75,6,23,6.98
80,sample_0080_mips.bin,Twofish-ECB,WiFi,mips,170,18,17,2.87
81,sample_0081_x86.bin,Twofish-ECB,Bluetooth,x86,114,17,9,0.66
82,sample_0082_arm.bin,CAST-ECB,SSH,arm,53,11,13,5.42
83,sample_0083_avr.bin,IDEA-ECB,WiFi,avr,185,16,8,4.26
84,sample_0084_mips.bin,RC4-CBC,Bluetooth,mips,178,12,15,1.18
85,sample_0085_z80.bin,HMAC,TLS,z80,149,9,9,7.95
86,sample_0086_risc.bin,RSA,WiFi,risc,150,18,12,2.66
87,sample_0087_arm.bin,Twofish-CBC,DTLS,arm,141,17,15,4.74
88,sample_0088_x86.bin,SHA256,Bluetooth,x86,191,8,23,4.87
89,sample_0089_avr.bin,3DES-CBC,SSH,avr,68,12,12,6.03
90,sample_0090_avr.bin,ECDSA,DTLS,avr,115,9,6,1.0
91,sample_0091_arm.bin,DES-ECB,DTLS,arm,175,15,11,2.63
92,sample_0092_riscv.bin,AES-CBC,TLS,riscv,150,9,13,6.64
93,sample_0093_z80.bin,AES-CBC,Bluetooth,z80,87,5,10,0.24
94,sample_0094_risc.bin,AES-CBC,TLS,risc,186,16,13,4.9
95,sample_0095_avr.bin,3DES-ECB,Bluetooth,avr,69,9,20,3.09
96,sample_0096_riscv.bin,SHA1,Bluetooth,riscv,80,16,9,1.26
97,sample_0097_z80.bin,CHACHA20,Bluetooth,z80,67,14,22,0.18
98,sample_0098_riscv.bin,3DES-ECB,WiFi,riscv,187,16,15,6.43
99,sample_0099_x86.bin,AES-CBC,SSH,x86,135,11,22,1.03
100,sample_0100_avr.bin,IDEA-ECB,SSH,avr,145,9,12,0.11
101,sample_0101_avr.bin,DES-CBC,TLS,avr,91,14,25,2.93
102,sample_0102_avr.bin,SHA256,DTLS,avr,78,7,25,1.22
103,sample_0103_z80.bin,AES-ECB,TLS,z80,66,6,13,5.17
104,sample_0104_arm.bin,RC4-ECB,Bluetooth,arm,56,15,20,1.89
105,sample_0105_risc.bin,IDEA-CBC,WiFi,risc,134,9,24,0.87
106,sample_0106_x86.bin,SHA256,Bluetooth,x86,185,12,22,4.66
107,sample_0107_riscv.bin,Blowfish-ECB,Bluetooth,riscv,100,8,16,5.74
108,sample_0108_mips.bin,Blowfish-CBC,TLS,mips,147,5,16,3.23
109,sample_0109_risc.bin,RC4-CBC,DTLS,risc,198,8,9,5.16
110,sample_0110_riscv.bin,HMAC,WiFi,riscv,114,10,24,0.65
111,sample_0111_z80.bin,HMAC,WiFi,z80,60,6,11,4.45
112,sample_0112_arm.bin,CAST-ECB,DTLS,arm,94,13,13,5.42
113,sample_0113_arm.bin,Twofish-ECB,SSH,arm,164,7,18,4.6
114,sample_0114_riscv.bin,Twofish-ECB,Bluetooth,riscv,103,8,8,3.3
115,sample_0115_z80.bin,3DES-CBC,WiFi,z80,153,17,7,1.82
116,sample_0116_arm.bin,CHACHA20,DTLS,arm,189,15,11,6.39
117,sample_0117_x86.bin,AES-CBC,SSH,x86,195,12,17,4.55
118,sample_0118_z80.bin,SHA1,Bluetooth,z80,113,13,22,1.01
119,sample_0119_risc.bin,DES-CBC,Bluetooth,risc,66,11,22,6.89
120,sample_0120_z80.bin,HMAC,Bluetooth,z80,96,18,17,5.03
121,sample_0121_mips.bin,CHACHA20,WiFi,mips,101,18,15,1.19
122,sample_0122_mips.bin,DES-ECB,Bluetooth,mips,133,14,9,4.88
123,sample_0123_x86.bin,ECDHE,DTLS,x86,120,5,15,0.79
124,sample_0124_risc.bin,RC4-CBC,Bluetooth,risc,179,8,23,1.79
125,sample_0125_x86.bin,3DES-CBC,WiFi,x86,156,19,15,1.01
126,sample_0126_arm.bin,DES-ECB,WiFi,arm,185,9,18,4.8
127,sample_0127_avr.bin,SHA256,DTLS,avr,101,10,22,7.9
128,sample_0128_avr.bin,Twofish-ECB,WiFi,avr,89,18,18,1.78
129,sample_0129_avr.bin,3DES-CBC,Bluetooth,avr,180,12,15,7.53
130,sample_0130_riscv.bin,GCM,SSH,riscv,161,17,8,3.03
131,sample_0131_mips.bin,ECDSA,WiFi,mips,172,8,6,3.77
132,sample_0132_x86.bin,IDEA-CBC,WiFi,x86,129,10,14,6.96
133,sample_0133_riscv.bin,3DES-ECB,SSH,riscv,74,14,24,3.92
134,sample_0134_mips.bin,RC4-CBC,WiFi,mips,80,6,14,4.96
135,sample_0135_x86.bin,HMAC,TLS,x86,158,19,14,3.04
136,sample_0136_z80.bin,RC4-CBC,TLS,z80,171,9,10,1.8
137,sample_0137_x86.bin,AES-CBC,TLS,x86,58,9,20,0.31
138,sample_0138_avr.bin,Blowfish-ECB,Bluetooth,avr,191,16,15,7.45
139,sample_0139_mips.bin,IDEA-CBC,DTLS,mips,186,6,10,2.73
140,sample_0140_riscv.bin,GCM,DTLS,riscv,135,11,16,3.67
141,sample_0141_avr.bin,3DES-CBC,DTLS,avr,186,7,7,6.1
142,sample_0142_avr.bin,SHA256,TLS,avr,72,18,19,5.58
143,sample_0143_avr.bin,RSA,WiFi,avr,190,16,16,6.64
144,sample_0144_mips.bin,3DES-ECB,DTLS,mips,109,16,17,4.26
145,sample_0145_arm.bin,Twofish-ECB,TLS,arm,131,18,16,3.7
146,sample_0146_riscv.bin,IDEA-CBC,DTLS,riscv,168,10,23,5.62
147,sample_0147_avr.bin,ECDHE,WiFi,avr,85,17,23,1.0
148,sample_0148_riscv.bin,GCM,DTLS,riscv,199,9,14,3.71
149,sample_0149_mips.bin,DES-ECB,Bluetooth,mips,176,7,21,4.87
150,sample_0150_arm.bin,CAST-CBC,SSH,arm,123,8,5,5.75
151,sample_0151_mips.bin,DES-ECB,WiFi,mips,125,12,10,7.9
152,sample_0152_z80.bin,RC4-CBC,DTLS,z80,56,19,11,0.93
153,sample_0153_risc.bin,RC4-ECB,WiFi,risc,88,15,8,0.55
154,sample_0154_avr.bin,CHACHA20,WiFi,avr,143,19,18,2.75
155,sample_0155_mips.bin,CAST-ECB,SSH,mips,117,8,10,6.31
156,sample_0156_x86.bin,SHA1,WiFi,x86,101,14,8,5.2
157,sample_0157_arm.bin,HMAC,TLS,arm,121,17,20,6.38
158,sample_0158_x86.bin,ECDHE,Bluetooth,x86,87,9,14,0.25
159,sample_0159_arm.bin,DES-CBC,DTLS,arm,146,5,9,4.19
160,sample_0160_avr.bin,AES-ECB,WiFi,avr,186,13,12,4.46
161,sample_0161_z80.bin,DES-ECB,WiFi,z80,103,14,24,0.62
162,sample_0162_z80.bin,RC4-CBC,DTLS,z80,158,14,5,0.24
163,sample_0163_riscv.bin,3DES-ECB,SSH,riscv,110,20,25,3.7
164,sample_0164_z80.bin,Twofish-ECB,Bluetooth,z80,78,5,14,2.63
165,sample_0165_x86.bin,GCM,TLS,x86,76,6,18,4.76
166,sample_0166_mips.bin,IDEA-ECB,WiFi,mips,165,8,19,3.66
167,sample_0167_avr.bin,3DES-CBC,SSH,avr,107,6,10,4.1
168,sample_0168_x86.bin,RC4-CBC,SSH,x86,61,11,6,2.56
169,sample_0169_arm.bin,SHA256,DTLS,arm,114,17,7,6.51
170,sample_0170_mips.bin,GCM,WiFi,mips,190,9,24,3.23
171,sample_0171_riscv.bin,Blowfish-CBC,SSH,riscv,96,8,15,1.05
172,sample_0172_risc.bin,RC4-ECB,WiFi,risc,66,10,13,4.84
173,sample_0173_avr.bin,ECDSA,WiFi,avr,146,8,12,4.35
174,sample_0174_z80.bin,3DES-CBC,Bluetooth,z80,124,18,9,4.85
175,sample_0175_riscv.bin,DES-ECB,WiFi,riscv,72,13,22,7.76
176,sample_0176_riscv.bin,CAST-CBC,SSH,riscv,108,11,21,5.54
177,sample_0177_arm.bin,Twofish-ECB,DTLS,arm,64,7,6,3.95
178,sample_0178_x86.bin,DES-ECB,DTLS,x86,112,13,7,0.79
179,sample_0179_riscv.bin,IDEA-CBC,Bluetooth,riscv,58,7,19,3.87
180,sample_0180_z80.bin,3DES-ECB,Bluetooth,z80,92,10,6,2.81
181,sample_0181_risc.bin,RC4-CBC,Bluetooth,risc,102,8,18,0.41
182,sample_0182_avr.bin,3DES-CBC,SSH,avr,158,13,17,0.78
183,sample_0183_x86.bin,GCM,SSH,x86,84,15,15,5.74
184,sample_0184_arm.bin,HMAC,Bluetooth,arm,57,11,25,7.27
185,sample_0185_risc.bin,3DES-CBC,Bluetooth,risc,198,8,9,5.67
186,sample_0186_z80.bin,DES-ECB,DTLS,z80,121,15,13,2.01
187,sample_0187_avr.bin,AES-CBC,TLS,avr,178,10,25,1.29
188,sample_0188_arm.bin,RC4-ECB,WiFi,arm,107,20,13,0.39
189,sample_0189_mips.bin,Blowfish-CBC,Bluetooth,mips,185,8,21,6.49
190,sample_0190_arm.bin,IDEA-CBC,Bluetooth,arm,79,20,8,2.22
191,sample_0191_mips.bin,DES-ECB,WiFi,mips,109,20,11,1.24
192,sample_0192_arm.bin,DES-ECB,WiFi,arm,194,12,14,6.81
193,sample_0193_mips.bin,AES-ECB,TLS,mips,98,6,24,2.17
194,sample_0194_riscv.bin,Twofish-ECB,SSH,riscv,68,19,20,6.16
195,sample_0195_riscv.bin,SHA256,Bluetooth,riscv,119,5,21,0.84
196,sample_0196_risc.bin,3DES-ECB,WiFi,risc,143,10,18,1.55
197,sample_0197_arm.bin,IDEA-ECB,SSH,arm,51,19,25,1.81
198,sample_0198_risc.bin,HMAC,Bluetooth,risc,92,6,13,4.51
199,sample_0199_avr.bin,ECDHE,TLS,avr,140,15,8,3.21
200,sample_0200_riscv.bin,IDEA-CBC,Bluetooth,riscv,169,14,12,1.71
201,sample_0201_risc.bin,ECDSA,SSH,risc,164,14,23,1.44
202,sample_0202_z80.bin,IDEA-CBC,WiFi,z80,67,11,21,2.45
203,sample_0203_risc.bin,RC4-CBC,TLS,risc,143,15,22,5.92
204,sample_0204_mips.bin,DES-ECB,TLS,mips,156,9,10,2.06
205,sample_0205_mips.bin,IDEA-ECB,TLS,mips,85,20,18,2.87
206,sample_0206_x86.bin,GCM,SSH,x86,198,19,17,7.39
207,sample_0207_risc.bin,Twofish-ECB,DTLS,risc,167,15,10,6.04
208,sample_0208_risc.bin,SHA256,Bluetooth,risc,60,16,9,5.53
209,sample_0209_riscv.bin,ECDHE,WiFi,riscv,100,8,12,4.43
210,sample_0210_z80.bin,AES-ECB,WiFi,z80,176,7,22,4.1
211,sample_0211_mips.bin,RC4-CBC,WiFi,mips,105,9,20,2.99
212,sample_0212_avr.bin,RC4-ECB,TLS,avr,76,9,10,1.51
213,sample_0213_z80.bin,RSA,SSH,z80,77,9,6,3.7
214,sample_0214_riscv.bin,CAST-ECB,Bluetooth,riscv,183,14,5,6.43
215,sample_0215_z80.bin,AES-ECB,WiFi,z80,115,13,13,1.67
216,sample_0216_riscv.bin,CHACHA20,WiFi,riscv,103,8,24,3.23
217,sample_0217_x86.bin,SHA256,TLS,x86,52,18,14,7.03
218,sample_0218_riscv.bin,HMAC,DTLS,riscv,65,19,13,7.58
219,sample_0219_risc.bin,CAST-ECB,SSH,risc,127,12,16,5.92
220,sample_0220_z80.bin,IDEA-CBC,WiFi,z80,108,7,20,4.3
221,sample_0221_x86.bin,Twofish-CBC,DTLS,x86,83,10,23,6.65
222,sample_0222_risc.bin,IDEA-CBC,TLS,risc,123,11,20,4.03
223,sample_0223_x86.bin,SHA256,SSH,x86,134,10,17,3.13
224,sample_0224_riscv.bin,SHA256,TLS,riscv,66,10,21,2.42
225,sample_0225_riscv.bin,DES-ECB,TLS,riscv,154,17,21,2.41
226,sample_0226_x86.bin,Twofish-ECB,Bluetooth,x86,193,20,9,5.74
227,sample_0227_riscv.bin,ECDSA,WiFi,riscv,69,13,8,6.83
228,sample_0228_risc.bin,3DES-CBC,SSH,risc,167,17,11,7.93
229,sample_0229_avr.bin,3DES-CBC,Bluetooth,avr,174,13,9,7.81
230,sample_0230_avr.bin,CAST-CBC,Bluetooth,avr,85,10,22,7.12
231,sample_0231_avr.bin,Blowfish-CBC,SSH,avr,167,10,11,6.46
232,sample_0232_riscv.bin,IDEA-ECB,DTLS,riscv,128,7,7,5.26
233,sample_0233_risc.bin,3DES-ECB,Bluetooth,risc,163,18,24,7.23
234,sample_0234_avr.bin,IDEA-ECB,WiFi,avr,181,20,17,5.7
235,sample_0235_arm.bin,Blowfish-ECB,SSH,arm,175,12,10,7.73
236,sample_0236_z80.bin,CAST-ECB,WiFi,z80,74,20,19,7.25
237,sample_0237_riscv.bin,Blowfish-ECB,Bluetooth,riscv,102,6,18,5.47
238,sample_0238_arm.bin,RSA,SSH,arm,154,15,5,0.45
239,sample_0239_x86.bin,CHACHA20,SSH,x86,122,15,10,7.44
240,sample_0240_avr.bin,SHA1,TLS,avr,154,14,11,7.33
241,sample_0241_avr.bin,GCM,DTLS,avr,134,16,19,1.57
242,sample_0242_arm.bin,Twofish-CBC,TLS,arm,71,7,19,0.98
243,sample_0243_arm.bin,RC4-CBC,WiFi,arm,197,16,8,2.52
244,sample_0244_z80.bin,SHA1,Bluetooth,z80,160,5,24,6.38
245,sample_0245_x86.bin,CAST-ECB,SSH,x86,135,12,8,0.11
246,sample_0246_riscv.bin,SHA1,TLS,riscv,120,18,24,5.29
247,sample_0247_z80.bin,Blowfish-ECB,SSH,z80,103,20,20,6.69
248,sample_0248_avr.bin,Twofish-CBC,Bluetooth,avr,154,20,21,0.18
249,sample_0249_arm.bin,IDEA-ECB,TLS,arm,185,6,8,5.28
250,sample_0250_arm.bin,CAST-ECB,WiFi,arm,109,9,16,8.0
251,sample_0251_risc.bin,3DES-CBC,SSH,risc,60,11,17,4.4
252,sample_0252_x86.bin,ECDSA,Bluetooth,x86,114,17,5,1.6
253,sample_0253_riscv.bin,Blowfish-CBC,SSH,riscv,169,16,23,5.12
254,sample_0254_mips.bin,CAST-ECB,DTLS,mips,68,18,8,1.45
255,sample_0255_mips.bin,Twofish-CBC,Bluetooth,mips,155,9,16,5.1
256,sample_0256_mips.bin,IDEA-CBC,DTLS,mips,123,15,6,7.74
257,sample_0257_z80.bin,CAST-CBC,DTLS,z80,97,7,25,3.59
258,sample_0258_x86.bin,Twofish-ECB,DTLS,x86,93,8,5,7.54
259,sample_0259_x86.bin,GCM,TLS,x86,109,9,17,7.71
260,sample_0260_riscv.bin,IDEA-ECB,WiFi,riscv,189,13,8,7.58
261,sample_0261_riscv.bin,DES-CBC,DTLS,riscv,69,17,25,2.1
262,sample_0262_mips.bin,3DES-CBC,Bluetooth,mips,166,18,13,5.27
263,sample_0263_arm.bin,Blowfish-ECB,Bluetooth,arm,198,8,24,0.0
264,sample_0264_riscv.bin,CHACHA20,DTLS,riscv,158,17,6,1.47
265,sample_0265_risc.bin,HMAC,Bluetooth,risc,177,5,5,0.32
266,sample_0266_riscv.bin,CAST-ECB,DTLS,riscv,91,16,11,3.77
267,sample_0267_risc.bin,DES-ECB,Bluetooth,risc,120,18,18,7.79
268,sample_0268_arm.bin,DES-CBC,WiFi,arm,189,12,6,4.09
269,sample_0269_riscv.bin,RSA,DTLS,riscv,180,11,17,3.09
270,sample_0270_x86.bin,GCM,Bluetooth,x86,146,16,16,1.21
271,sample_0271_z80.bin,3DES-ECB,DTLS,z80,140,14,23,3.87
272,sample_0272_arm.bin,ECDHE,SSH,arm,103,14,15,6.79
273,sample_0273_mips.bin,ECDHE,TLS,mips,115,10,7,1.7
274,sample_0274_risc.bin,CAST-CBC,WiFi,risc,137,10,9,0.8
275,sample_0275_x86.bin,RC4-ECB,DTLS,x86,70,15,14,6.21
276,sample_0276_x86.bin,RC4-CBC,TLS,x86,176,9,19,1.63
277,sample_0277_riscv.bin,3DES-CBC,DTLS,riscv,122,13,6,5.96
278,sample_0278_risc.bin,Twofish-CBC,WiFi,risc,87,16,21,1.46
279,sample_0279_x86.bin,Blowfish-ECB,SSH,x86,97,15,23,4.34
280,sample_0280_mips.bin,DES-ECB,TLS,mips,81,14,11,7.06
281,sample_0281_z80.bin,CAST-CBC,DTLS,z80,144,18,13,1.09
282,sample_0282_avr.bin,RC4-CBC,Bluetooth,avr,116,9,7,7.73
283,sample_0283_z80.bin,RC4-CBC,WiFi,z80,110,9,10,4.05
284,sample_0284_avr.bin,ECDSA,DTLS,avr,94,8,23,0.78
285,sample_0285_avr.bin,Blowfish-CBC,DTLS,avr,127,15,24,0.6
286,sample_0286_avr.bin,DES-ECB,DTLS,avr,173,12,8,1.12
287,sample_0287_avr.bin,RC4-ECB,Bluetooth,avr,64,5,24,0.05
288,sample_0288_arm.bin,3DES-ECB,WiFi,arm,84,13,7,3.78
289,sample_0289_x86.bin,DES-ECB,SSH,x86,189,14,20,4.02
290,sample_0290_avr.bin,SHA256,DTLS,avr,123,9,21,0.21
291,sample_0291_z80.bin,ECDHE,TLS,z80,141,7,17,2.83
292,sample_0292_x86.bin,AES-ECB,SSH,x86,158,5,12,2.83
293,sample_0293_x86.bin,CAST-CBC,Bluetooth,x86,132,5,8,1.22
294,sample_0294_x86.bin,AES-CBC,WiFi,x86,144,15,9,0.36
295,sample_0295_mips.bin,Twofish-CBC,WiFi,mips,153,19,11,6.43
296,sample_0296_arm.bin,RSA,WiFi,arm,58,10,8,7.63
297,sample_0297_avr.bin,DES-CBC,TLS,avr,120,11,23,1.41
298,sample_0298_mips.bin,AES-CBC,SSH,mips,187,8,9,4.19
299,sample_0299_x86.bin,CAST-CBC,Bluetooth,x86,70,15,14,7.41
300,sample_0300_x86.bin,AES-CBC,TLS,x86,97,17,19,7.25
301,sample_0301_avr.bin,Twofish-CBC,SSH,avr,144,8,14,7.53
302,sample_0302_risc.bin,Twofish-ECB,TLS,risc,100,12,19,4.67
303,sample_0303_x86.bin,Twofish-CBC,DTLS,x86,69,18,20,5.75
304,sample_0304_z80.bin,Twofish-ECB,TLS,z80,84,6,20,2.64
305,sample_0305_risc.bin,ECDHE,Bluetooth,risc,169,8,14,0.93
306,sample_0306_x86.bin,ECDHE,TLS,x86,92,19,5,5.42
307,sample_0307_mips.bin,RSA,SSH,mips,63,16,7,5.58
308,sample_0308_z80.bin,AES-ECB,Bluetooth,z80,67,5,24,1.56
309,sample_0309_z80.bin,RC4-CBC,Bluetooth,z80,106,16,5,0.73
310,sample_0310_z80.bin,3DES-CBC,DTLS,z80,93,13,17,2.89
311,sample_0311_x86.bin,Blowfish-ECB,SSH,x86,83,11,11,2.63
312,sample_0312_mips.bin,RC4-CBC,Bluetooth,mips,83,12,10,6.95
313,sample_0313_riscv.bin,RC4-CBC,DTLS,riscv,161,17,18,5.45
314,sample_0314_risc.bin,IDEA-ECB,WiFi,risc,75,12,5,1.99
315,sample_0315_arm.bin,Blowfish-ECB,SSH,arm,118,17,13,6.69
316,sample_0316_mips.bin,CAST-ECB,WiFi,mips,135,9,7,4.63
317,sample_0317_riscv.bin,AES-CBC,SSH,riscv,105,13,6,7.47
318,sample_0318_riscv.bin,CAST-CBC,TLS,riscv,161,6,22,7.0
319,sample_0319_avr.bin,3DES-CBC,TLS,avr,175,9,20,0.01
320,sample_0320_avr.bin,Blowfish-CBC,WiFi,avr,96,8,17,2.21
321,sample_0321_risc.bin,Blowfish-ECB,Bluetooth,risc,161,11,13,3.29
322,sample_0322_arm.bin,IDEA-CBC,WiFi,arm,120,10,25,4.76
323,sample_0323_arm.bin,IDEA-ECB,Bluetooth,arm,144,6,7,0.71
324,sample_0324_avr.bin,CAST-CBC,TLS,avr,149,13,21,2.74
325,sample_0325_x86.bin,Twofish-ECB,WiFi,x86,173,17,20,6.98
326,sample_0326_risc.bin,ECDSA,Bluetooth,risc,114,9,7,7.71
327,sample_0327_risc.bin,3DES-ECB,SSH,risc,106,17,25,5.3
328,sample_0328_arm.bin,Twofish-CBC,Bluetooth,arm,112,7,9,6.32
329,sample_0329_z80.bin,RC4-ECB,Bluetooth,z80,99,11,5,1.34
330,sample_0330_riscv.bin,RC4-ECB,TLS,riscv,170,5,23,3.22
331,sample_0331_x86.bin,IDEA-ECB,Bluetooth,x86,83,5,11,3.93
332,sample_0332_riscv.bin,Blowfish-ECB,SSH,riscv,108,17,13,6.78
333,sample_0333_avr.bin,HMAC,DTLS,avr,177,20,22,7.8
334,sample_0334_risc.bin,GCM,WiFi,risc,188,19,20,6.9
335,sample_0335_arm.bin,IDEA-CBC,TLS,arm,152,13,5,0.49
336,sample_0336_avr.bin,Blowfish-CBC,TLS,avr,94,18,15,0.02
337,sample_0337_riscv.bin,DES-ECB,TLS,riscv,143,15,22,1.4
338,sample_0338_x86.bin,SHA256,SSH,x86,88,18,21,1.99
339,sample_0339_arm.bin,RC4-ECB,WiFi,arm,111,8,19,0.58
340,sample_0340_x86.bin,AES-ECB,SSH,x86,181,10,12,3.67
341,sample_0341_risc.bin,SHA1,WiFi,risc,146,19,15,4.4
342,sample_0342_x86.bin,3DES-CBC,WiFi,x86,175,6,21,1.49
343,sample_0343_x86.bin,IDEA-ECB,TLS,x86,161,8,23,5.9
344,sample_0344_x86.bin,Twofish-ECB,WiFi,x86,190,8,24,4.78
345,sample_0345_avr.bin,RSA,DTLS,avr,58,20,12,1.35
346,sample_0346_riscv.bin,RC4-CBC,Bluetooth,riscv,187,11,8,2.27
347,sample_0347_riscv.bin,3DES-CBC,DTLS,riscv,174,9,15,3.02
348,sample_0348_z80.bin,AES-CBC,WiFi,z80,152,9,19,0.92
