sample_id,filename,architecture,primitives,crypto_protocols,length_bytes
s0072,s0072.hex,x86_64,"ChaCha20,ECDSA,SHA1","TLS1.2,TLS1.3",8250
s0073,s0073.hex,arm,"ECDSA,GCM","Bluetooth_CLASSIC,IPSec,WPA2",316
s0074,s0074.hex,x86,"ChaCha20,ECDSA,GCM,RSA",SSH,2096
s0075,s0075.hex,powerpc,"ECDSA,SHA1",Bluetooth_LE,305
s0076,s0076.hex,arm,"ChaCha20,HMAC,SHA1,SHA256","Bluetooth_LE,DTLS",8257
s0077,s0077.hex,mips,"ECDHE,ECDSA,HMAC,SHA1",DTLS,305
s0078,s0078.hex,arm,"SHA1,SHA256","Bluetooth_LE,TLS1.2,TLS1.3",572
s0079,s0079.hex,x86,"ECDHE,ECDSA","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.3",327
s0080,s0080.hex,x86_64,"AES,ECDHE,SHA256",IPSec,303
s0081,s0081.hex,arm,"HMAC,RSA","Bluetooth_LE,DTLS,IPSec",4150
s0082,s0082.hex,arm64,"ECDHE,HMAC,RSA,SHA1",DTLS,4144
s0083,s0083.hex,arm,"ECDHE,HMAC",Bluetooth_CLASSIC,2098
s0084,s0084.hex,x86_64,"ChaCha20,ECDHE,SHA256",WPA3,307
s0085,s0085.hex,powerpc,"ChaCha20,GCM,HMAC",DTLS,560
s0086,s0086.hex,mips,"ChaCha20,ECDHE,SHA1,SHA256",WPA3,2102
s0087,s0087.hex,powerpc,"ChaCha20,ECDHE,GCM,HMAC","Bluetooth_CLASSIC,SSH,WPA2",2124
s0088,s0088.hex,arm,"SHA1,SHA256","IPSec,TLS1.2,WPA3",307
s0089,s0089.hex,arm,"HMAC,SHA1","DTLS,TLS1.2,WPA3",304
s0090,s0090.hex,x86_64,"ECDSA,GCM",WPA2,8231
s0091,s0091.hex,powerpc,"SHA1,SHA256","Bluetooth_LE,IPSec,WPA3",2109
s0092,s0092.hex,arm,"ECDSA,GCM,HMAC,SHA1",TLS1.2,4144
s0093,s0093.hex,x86_64,"ECDSA,HMAC,SHA256","DTLS,WPA2",308
s0094,s0094.hex,powerpc,"ChaCha20,ECDHE,HMAC,SHA256",SSH,312
s0095,s0095.hex,powerpc,"AES,HMAC",SSH,4134
s0096,s0096.hex,mips,"AES,ChaCha20","TLS1.3,WPA2",2095
s0097,s0097.hex,arm,"GCM,SHA256","DTLS,WPA3",8234
s0098,s0098.hex,arm64,"HMAC,SHA1",TLS1.3,552
s0099,s0099.hex,arm64,"AES,ECDSA,GCM,SHA1",WPA3,4143
s0100,s0100.hex,x86_64,"ChaCha20,ECDHE,SHA256",Bluetooth_CLASSIC,320
s0101,s0101.hex,powerpc,"AES,GCM,RSA","TLS1.2,WPA2",561
s0102,s0102.hex,powerpc,"ECDHE,SHA256","TLS1.2,TLS1.3,WPA2",569
s0103,s0103.hex,arm,"ChaCha20,ECDHE","DTLS,SSH",2093
s0104,s0104.hex,x86,"ChaCha20,ECDSA,RSA,SHA256","TLS1.3,WPA3",315
s0105,s0105.hex,arm64,"AES,RSA",Bluetooth_LE,4140
s0106,s0106.hex,powerpc,"ECDSA,HMAC,SHA1,SHA256","DTLS,SSH,TLS1.2",8256
s0107,s0107.hex,powerpc,"ECDHE,ECDSA","Bluetooth_CLASSIC,Bluetooth_LE,IPSec",2122
s0108,s0108.hex,x86_64,"ChaCha20,RSA,SHA1,SHA256",SSH,565
s0109,s0109.hex,arm,"ChaCha20,SHA256","Bluetooth_LE,TLS1.3",2105
s0110,s0110.hex,arm64,"HMAC,RSA","Bluetooth_LE,WPA3",8242
s0111,s0111.hex,x86,"HMAC,RSA",SSH,546
s0112,s0112.hex,powerpc,"AES,ChaCha20,GCM",Bluetooth_CLASSIC,4156
s0113,s0113.hex,x86,"ECDSA,HMAC,SHA256",WPA2,2092
s0114,s0114.hex,arm64,"AES,GCM,RSA,SHA256","Bluetooth_CLASSIC,TLS1.3,WPA2",4168
s0115,s0115.hex,mips,"ChaCha20,ECDHE,GCM","Bluetooth_LE,DTLS,TLS1.3",578
s0116,s0116.hex,x86,"AES,ECDHE,ECDSA",TLS1.3,556
s0117,s0117.hex,mips,"ECDHE,ECDSA,SHA256",DTLS,4142
s0118,s0118.hex,x86_64,"ChaCha20,ECDHE,SHA1,SHA256","IPSec,SSH",573
s0119,s0119.hex,arm,"AES,ChaCha20,ECDSA,SHA1","IPSec,SSH",311
s0120,s0120.hex,powerpc,"AES,ChaCha20,ECDSA,GCM",SSH,564
s0121,s0121.hex,arm64,"GCM,RSA",SSH,547
s0122,s0122.hex,x86_64,"AES,ECDSA,SHA256",WPA2,8238
s0123,s0123.hex,powerpc,"ChaCha20,GCM","SSH,TLS1.2",4145
s0124,s0124.hex,mips,"AES,ECDHE,GCM","Bluetooth_CLASSIC,DTLS",4155
s0125,s0125.hex,powerpc,"AES,HMAC","Bluetooth_CLASSIC,DTLS,WPA3",4158
s0126,s0126.hex,mips,"AES,SHA1,SHA256","Bluetooth_CLASSIC,IPSec,TLS1.2",325
s0127,s0127.hex,x86_64,"ECDHE,SHA1","Bluetooth_LE,SSH,TLS1.3",2107
s0128,s0128.hex,mips,"ECDHE,GCM","Bluetooth_CLASSIC,WPA2",567
s0129,s0129.hex,x86,"ChaCha20,GCM","IPSec,TLS1.2,WPA3",564
s0130,s0130.hex,arm64,"GCM,SHA256","IPSec,TLS1.3",4143
s0131,s0131.hex,x86_64,"ECDSA,SHA1","Bluetooth_CLASSIC,TLS1.2",316
s0132,s0132.hex,powerpc,"ECDSA,HMAC","DTLS,TLS1.3",304
s0133,s0133.hex,mips,"ECDSA,GCM,SHA1",TLS1.3,8236
s0134,s0134.hex,powerpc,"ChaCha20,ECDHE,HMAC","DTLS,WPA2",8247
s0135,s0135.hex,x86,"HMAC,SHA1",TLS1.3,550
s0136,s0136.hex,arm,"ECDSA,GCM,HMAC,SHA1","IPSec,WPA2,WPA3",2105
s0137,s0137.hex,arm64,"SHA1,SHA256","Bluetooth_LE,SSH,WPA2",313
s0138,s0138.hex,powerpc,"ChaCha20,GCM",TLS1.3,2093
s0139,s0139.hex,mips,"ECDHE,HMAC,SHA1,SHA256",DTLS,562
s0140,s0140.hex,powerpc,"ChaCha20,ECDHE,HMAC,SHA1","Bluetooth_LE,SSH,WPA2",4168
s0141,s0141.hex,arm,"ChaCha20,GCM,HMAC,SHA1","Bluetooth_LE,SSH,WPA2",578
s0142,s0142.hex,x86_64,"ECDHE,ECDSA,HMAC,SHA256",IPSec,2102
s0143,s0143.hex,arm64,"ECDHE,ECDSA,RSA","Bluetooth_CLASSIC,Bluetooth_LE",326
s0144,s0144.hex,x86_64,"ChaCha20,RSA,SHA1,SHA256",IPSec,567
s0145,s0145.hex,mips,"AES,ChaCha20,HMAC,RSA","IPSec,SSH",2102
s0146,s0146.hex,powerpc,"AES,ECDSA,RSA,SHA1","Bluetooth_CLASSIC,WPA2",579
s0147,s0147.hex,arm64,"AES,ChaCha20,GCM,RSA","TLS1.3,WPA3",312
s0148,s0148.hex,x86,"ECDSA,HMAC,SHA256",TLS1.2,558
s0149,s0149.hex,x86,"AES,ECDHE","SSH,TLS1.2",298
s0150,s0150.hex,mips,"GCM,SHA1","Bluetooth_LE,TLS1.2,WPA2",312
s0151,s0151.hex,mips,"ECDHE,RSA",Bluetooth_CLASSIC,4146
s0152,s0152.hex,mips,"GCM,RSA,SHA256","SSH,TLS1.3",2096
s0153,s0153.hex,arm64,"ECDSA,RSA,SHA256","DTLS,WPA3",306
s0154,s0154.hex,powerpc,"HMAC,SHA1","DTLS,TLS1.3,WPA3",4148
s0155,s0155.hex,x86,"GCM,HMAC,SHA1,SHA256",TLS1.3,8241
s0156,s0156.hex,arm64,"ChaCha20,HMAC,SHA1","Bluetooth_CLASSIC,DTLS,TLS1.3",584
s0157,s0157.hex,x86_64,"AES,ECDSA,RSA,SHA1","IPSec,SSH,WPA2",570
s0158,s0158.hex,x86_64,"ChaCha20,HMAC","TLS1.3,WPA2",562
s0159,s0159.hex,arm64,"ChaCha20,ECDHE,SHA1,SHA256","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.2",600
s0160,s0160.hex,mips,"AES,ECDHE,GCM,HMAC","DTLS,TLS1.3,WPA2",8250
s0161,s0161.hex,x86_64,"ChaCha20,RSA","Bluetooth_CLASSIC,SSH,WPA2",320
s0162,s0162.hex,x86_64,"SHA1,SHA256","Bluetooth_LE,DTLS,SSH",2106
s0163,s0163.hex,powerpc,"ECDHE,RSA",WPA2,552
s0164,s0164.hex,arm,"GCM,HMAC,SHA1",WPA2,296
s0165,s0165.hex,arm64,"ChaCha20,GCM",Bluetooth_CLASSIC,4150
s0166,s0166.hex,x86_64,"ChaCha20,ECDSA,SHA1,SHA256","DTLS,WPA2",4157
s0167,s0167.hex,powerpc,"ChaCha20,ECDSA,GCM,RSA","Bluetooth_CLASSIC,IPSec,SSH",588
s0168,s0168.hex,arm64,"GCM,RSA",WPA3,2084
s0169,s0169.hex,mips,"AES,ChaCha20",DTLS,2088
s0170,s0170.hex,arm,"HMAC,SHA256","Bluetooth_CLASSIC,WPA2",2104
s0171,s0171.hex,x86_64,"ChaCha20,ECDHE,ECDSA,GCM",WPA2,310
s0172,s0172.hex,x86_64,"ChaCha20,RSA,SHA1,SHA256","DTLS,TLS1.3,WPA2",2114
s0173,s0173.hex,arm64,"ECDHE,GCM,HMAC,SHA1","Bluetooth_CLASSIC,DTLS",322
s0174,s0174.hex,powerpc,"ECDSA,RSA,SHA1","DTLS,TLS1.2",4148
s0175,s0175.hex,arm,"ChaCha20,ECDSA",SSH,296
s0176,s0176.hex,x86,"GCM,RSA",Bluetooth_CLASSIC,559
s0177,s0177.hex,powerpc,"AES,HMAC","Bluetooth_LE,DTLS,TLS1.2",315
s0178,s0178.hex,powerpc,"ECDSA,HMAC","SSH,WPA3",4141
s0179,s0179.hex,arm64,"ECDHE,SHA256","SSH,WPA2",2093
s0180,s0180.hex,powerpc,"ChaCha20,ECDSA,SHA1","TLS1.3,WPA3",313
s0181,s0181.hex,powerpc,"AES,ChaCha20,ECDHE,HMAC",TLS1.2,568
s0182,s0182.hex,x86_64,"ECDSA,HMAC","TLS1.2,WPA2",4143
s0183,s0183.hex,arm64,"AES,RSA","IPSec,WPA2,WPA3",2095
s0184,s0184.hex,mips,"ChaCha20,SHA256",IPSec,300
s0185,s0185.hex,powerpc,"ChaCha20,ECDSA,HMAC,RSA",TLS1.3,568
s0186,s0186.hex,x86,"ECDHE,ECDSA,GCM,HMAC","Bluetooth_CLASSIC,IPSec,WPA2",583
s0187,s0187.hex,mips,"ECDHE,ECDSA",Bluetooth_CLASSIC,308
s0188,s0188.hex,x86_64,"ECDSA,GCM,HMAC,SHA1",IPSec,306
s0189,s0189.hex,arm64,"ChaCha20,ECDHE,ECDSA","Bluetooth_CLASSIC,IPSec,SSH",328
s0190,s0190.hex,x86,"AES,RSA",Bluetooth_LE,554
s0191,s0191.hex,powerpc,"AES,ECDSA,GCM,SHA256",WPA2,307
s0192,s0192.hex,x86_64,"HMAC,SHA1",Bluetooth_LE,4143
s0193,s0193.hex,mips,"ECDHE,ECDSA",DTLS,2087
s0194,s0194.hex,arm64,"ECDSA,GCM,SHA256",TLS1.2,2095
s0195,s0195.hex,mips,"RSA,SHA1",DTLS,2084
s0196,s0196.hex,powerpc,"ECDSA,SHA1,SHA256","IPSec,SSH,TLS1.3",2108
s0197,s0197.hex,mips,"ECDHE,GCM","DTLS,WPA3",298
s0198,s0198.hex,powerpc,"ECDHE,ECDSA,HMAC,SHA1","IPSec,SSH,TLS1.2",576
s0199,s0199.hex,powerpc,"ChaCha20,SHA256",WPA2,4142
s0200,s0200.hex,mips,"ECDHE,GCM","Bluetooth_CLASSIC,Bluetooth_LE,SSH",323
s0201,s0201.hex,mips,"ECDHE,GCM",TLS1.2,295
s0202,s0202.hex,x86_64,"ECDSA,GCM,SHA1",TLS1.3,8238
s0203,s0203.hex,arm,"ECDSA,SHA256",IPSec,296
s0204,s0204.hex,arm,"ECDHE,GCM,SHA1","Bluetooth_LE,TLS1.2",2104
s0205,s0205.hex,x86,"ChaCha20,ECDHE,SHA256","SSH,TLS1.2",2102
s0206,s0206.hex,arm,"HMAC,SHA256","SSH,TLS1.2",4140
s0207,s0207.hex,x86_64,"ECDSA,SHA1","IPSec,WPA2",2094
s0208,s0208.hex,arm,"ChaCha20,SHA1,SHA256","Bluetooth_CLASSIC,SSH",2112
s0209,s0209.hex,powerpc,"AES,GCM,HMAC,SHA256",Bluetooth_CLASSIC,2111
s0210,s0210.hex,mips,"HMAC,SHA1",DTLS,8229
s0211,s0211.hex,mips,"AES,ECDSA,HMAC","Bluetooth_CLASSIC,WPA2,WPA3",2113
s0212,s0212.hex,x86,"ECDHE,ECDSA,SHA1","IPSec,WPA3",561
s0213,s0213.hex,mips,"ECDHE,ECDSA,HMAC,SHA256","Bluetooth_LE,WPA2,WPA3",581
s0214,s0214.hex,x86_64,"ECDSA,SHA256",TLS1.3,2092
s0215,s0215.hex,mips,"ECDHE,HMAC,RSA,SHA1",TLS1.3,2097
s0216,s0216.hex,powerpc,"AES,ChaCha20,SHA1","TLS1.3,WPA2",4151
s0217,s0217.hex,mips,"AES,HMAC","Bluetooth_LE,TLS1.3,WPA3",312
s0218,s0218.hex,powerpc,"ChaCha20,HMAC,RSA,SHA1","Bluetooth_LE,DTLS,WPA2",327
s0219,s0219.hex,mips,"ChaCha20,ECDHE,RSA,SHA256",SSH,308
s0220,s0220.hex,x86_64,"ChaCha20,RSA","Bluetooth_LE,WPA3",311
s0221,s0221.hex,mips,"ECDSA,HMAC,RSA,SHA1",Bluetooth_CLASSIC,8252
s0222,s0222.hex,powerpc,"AES,ChaCha20,SHA1","IPSec,TLS1.3,WPA2",4157
s0223,s0223.hex,arm64,"ECDSA,GCM,RSA","IPSec,TLS1.2",4146
s0224,s0224.hex,mips,"HMAC,RSA","DTLS,SSH,TLS1.3",4143
s0225,s0225.hex,x86,"ChaCha20,HMAC","Bluetooth_LE,TLS1.3",2103
s0226,s0226.hex,mips,"AES,ChaCha20,ECDHE,RSA","Bluetooth_LE,DTLS",4159
s0227,s0227.hex,mips,"AES,SHA1,SHA256","Bluetooth_LE,WPA2",2104
s0228,s0228.hex,arm,"ChaCha20,ECDSA,GCM,RSA","SSH,TLS1.3",4151
s0229,s0229.hex,mips,"ChaCha20,ECDSA,SHA1,SHA256",SSH,565
s0230,s0230.hex,x86_64,"ChaCha20,ECDHE,HMAC",Bluetooth_CLASSIC,8254
s0231,s0231.hex,x86_64,"SHA1,SHA256",Bluetooth_CLASSIC,566
s0232,s0232.hex,arm64,"ECDSA,SHA256","Bluetooth_LE,IPSec,SSH",315
s0233,s0233.hex,powerpc,"ECDHE,RSA,SHA1,SHA256","Bluetooth_CLASSIC,SSH",2117
s0234,s0234.hex,powerpc,"AES,GCM,HMAC,SHA1","Bluetooth_CLASSIC,SSH,TLS1.2",328
s0235,s0235.hex,powerpc,"AES,SHA256","SSH,TLS1.3,WPA3",308
s0236,s0236.hex,x86_64,"ECDHE,GCM,RSA,SHA256",TLS1.3,564
s0237,s0237.hex,arm64,"AES,ChaCha20,ECDSA,SHA1","SSH,TLS1.3",4154
s0238,s0238.hex,mips,"AES,ECDHE","IPSec,TLS1.3",4141
s0239,s0239.hex,x86_64,"AES,ECDHE,HMAC",Bluetooth_LE,2100
s0240,s0240.hex,mips,"ECDHE,ECDSA,RSA,SHA256","DTLS,TLS1.3",2105
s0241,s0241.hex,x86_64,"ECDHE,ECDSA,RSA,SHA1",IPSec,2099
s0242,s0242.hex,arm,"ECDSA,GCM,RSA",Bluetooth_LE,4144
s0243,s0243.hex,powerpc,"ChaCha20,RSA","DTLS,WPA3",304
s0244,s0244.hex,powerpc,"RSA,SHA256",TLS1.2,555
s0245,s0245.hex,arm,"ECDSA,RSA","DTLS,TLS1.2",2091
s0246,s0246.hex,mips,"AES,ChaCha20,ECDHE,GCM","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.3",595
s0247,s0247.hex,arm,"ChaCha20,GCM,HMAC",Bluetooth_CLASSIC,313
s0248,s0248.hex,x86_64,"ECDHE,GCM,RSA,SHA256","Bluetooth_LE,SSH",318
s0249,s0249.hex,mips,"ChaCha20,ECDSA,RSA","TLS1.2,TLS1.3,WPA2",316
s0250,s0250.hex,x86_64,"AES,ECDHE,ECDSA,GCM","DTLS,SSH,TLS1.3",572
s0251,s0251.hex,x86_64,"AES,ChaCha20,ECDSA,SHA256","Bluetooth_LE,DTLS,WPA3",585
s0252,s0252.hex,arm64,"ChaCha20,HMAC,SHA1",WPA2,559
s0253,s0253.hex,powerpc,"AES,HMAC","Bluetooth_LE,IPSec",309
s0254,s0254.hex,mips,"AES,GCM,HMAC,SHA1","SSH,WPA2",305
s0255,s0255.hex,x86_64,"GCM,RSA,SHA1",Bluetooth_CLASSIC,2103
s0256,s0256.hex,powerpc,"AES,ChaCha20,ECDSA,GCM","Bluetooth_CLASSIC,WPA2,WPA3",4172
s0257,s0257.hex,powerpc,"ECDHE,ECDSA","Bluetooth_LE,WPA3",2103
s0258,s0258.hex,x86_64,"GCM,HMAC,SHA1,SHA256",TLS1.3,308
s0259,s0259.hex,x86,"AES,ECDHE,ECDSA","Bluetooth_LE,TLS1.3",313
s0260,s0260.hex,arm64,"ChaCha20,GCM,HMAC,SHA256","DTLS,IPSec",571
s0261,s0261.hex,x86,"ECDHE,HMAC","IPSec,TLS1.3",301
s0262,s0262.hex,arm,"ChaCha20,GCM,SHA1,SHA256",WPA2,4147
s0263,s0263.hex,arm,"AES,HMAC","Bluetooth_CLASSIC,TLS1.3",311
s0264,s0264.hex,arm64,"AES,GCM,HMAC","Bluetooth_CLASSIC,WPA2,WPA3",320
s0265,s0265.hex,x86_64,"AES,ChaCha20,ECDHE","TLS1.2,TLS1.3,WPA3",2110
s0266,s0266.hex,arm64,"AES,GCM","Bluetooth_CLASSIC,TLS1.3",568
s0267,s0267.hex,arm64,"HMAC,RSA",Bluetooth_LE,2093
s0268,s0268.hex,arm64,"GCM,SHA256","SSH,WPA3",2091
s0269,s0269.hex,x86_64,"AES,GCM,SHA1",WPA2,4138
s0270,s0270.hex,powerpc,"ChaCha20,GCM",Bluetooth_LE,4147
s0271,s0271.hex,x86,"AES,ECDSA,RSA","DTLS,WPA2",301
s0272,s0272.hex,x86_64,"HMAC,RSA","DTLS,TLS1.3,WPA3",306
s0273,s0273.hex,x86_64,"ECDHE,ECDSA","Bluetooth_CLASSIC,IPSec",4156
s0274,s0274.hex,arm64,"AES,ChaCha20,SHA1,SHA256","Bluetooth_CLASSIC,DTLS,WPA3",2124
s0275,s0275.hex,arm,"ECDHE,ECDSA,SHA1",IPSec,8236
s0276,s0276.hex,x86_64,"ECDHE,ECDSA,RSA,SHA1",TLS1.2,2100
s0277,s0277.hex,x86_64,"AES,GCM,HMAC,RSA","Bluetooth_LE,SSH",570
s0278,s0278.hex,powerpc,"ChaCha20,ECDHE","Bluetooth_CLASSIC,WPA2",575
s0279,s0279.hex,arm,"AES,ECDSA,HMAC",DTLS,553
s0280,s0280.hex,x86,"ECDSA,RSA",SSH,4131
s0281,s0281.hex,x86_64,"AES,ChaCha20,GCM,HMAC","Bluetooth_LE,DTLS,WPA3",325
s0282,s0282.hex,arm64,"ECDSA,HMAC,RSA",IPSec,556
s0283,s0283.hex,x86_64,"GCM,HMAC,SHA1",IPSec,556
s0284,s0284.hex,arm64,"ChaCha20,RSA,SHA1,SHA256",Bluetooth_CLASSIC,578
s0285,s0285.hex,arm,"AES,ECDSA,RSA","Bluetooth_CLASSIC,Bluetooth_LE",322
s0286,s0286.hex,arm64,"ECDHE,GCM","Bluetooth_CLASSIC,TLS1.2,WPA3",4159
s0287,s0287.hex,arm64,"ECDHE,GCM",TLS1.2,2088
s0288,s0288.hex,arm,"HMAC,RSA",DTLS,291
s0289,s0289.hex,arm,"AES,ChaCha20,ECDSA","DTLS,WPA2,WPA3",311
s0290,s0290.hex,arm64,"AES,ChaCha20,HMAC,RSA",Bluetooth_LE,570
s0291,s0291.hex,x86,"ECDHE,SHA256","Bluetooth_CLASSIC,TLS1.3",2107
s0292,s0292.hex,x86_64,"ChaCha20,ECDSA,RSA","IPSec,TLS1.3",568
s0293,s0293.hex,arm,"ECDSA,HMAC,RSA,SHA256",TLS1.2,562
s0294,s0294.hex,arm64,"HMAC,SHA256",DTLS,2088
s0295,s0295.hex,powerpc,"ChaCha20,HMAC","DTLS,TLS1.3,WPA2",2104
s0296,s0296.hex,x86_64,"ChaCha20,ECDHE,HMAC,RSA","DTLS,TLS1.2",2108
s0297,s0297.hex,powerpc,"ECDHE,ECDSA,RSA,SHA256","Bluetooth_CLASSIC,WPA2,WPA3",2124
s0298,s0298.hex,mips,"ECDSA,SHA1",IPSec,4135
s0299,s0299.hex,arm,"AES,ChaCha20,SHA1,SHA256","DTLS,WPA2",8248
s0300,s0300.hex,x86,"AES,GCM","IPSec,WPA3",8232
